,,,,,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Dribbles,Dribbles,
Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist,Succ,Att,Match Report
2020-01-15,Wed,Coppa Italia,Round of 16,Home,W 4–0,Juventus,Udinese,Y,CM,90,0,0,0,0,3,1,0,0,,,,0,,,,,,,,,,,,,,,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-22,Wed,Coppa Italia,Quarter-finals,Home,W 3–1,Juventus,Roma,Y,CM,90,1,0,0,0,1,1,0,0,,,,3,,,,,,,,,,,,,,,Match Report
2020-01-26,Sun,Serie A,Matchweek 21,Away,L 1–2,Juventus,Napoli,Y,CMDM,90,0,1,0,0,0,0,1,0,74,36,2,2,3,0.0,0.0,0.2,2,1,56,63,88.9,168,51,136,0,0,Match Report
2020-02-02,Sun,Serie A,Matchweek 22,Home,W 3–0,Juventus,Fiorentina,Y,CM,90,0,0,0,0,1,1,0,0,84,20,2,1,0,0.0,0.0,0.0,3,2,67,73,91.8,142,63,161,2,3,Match Report
2020-02-08,Sat,Serie A,Matchweek 23,Away,L 1–2,Juventus,Hellas Verona,Y,CM,81,0,1,0,0,0,0,0,0,56,34,2,0,2,0.0,0.0,0.2,3,1,42,48,87.5,177,41,83,2,2,Match Report
2020-02-13,Thu,Coppa Italia,Semi-finals,Away,D 1–1,Juventus,Milan,N,,28,0,0,0,0,0,0,0,0,,,,1,,,,,,,,,,,,,,,Match Report
2020-02-16,Sun,Serie A,Matchweek 24,Home,W 2–0,Juventus,Brescia,Y,DMCM,90,0,0,0,0,2,1,1,0,130,21,2,3,4,0.0,0.0,0.1,4,0,106,117,90.6,577,111,176,2,3,Match Report
2020-02-22,Sat,Serie A,Matchweek 25,Away,W 2–1,Juventus,SPAL,Y,CM,90,0,0,0,0,0,0,0,0,93,11,2,3,2,0.0,0.0,0.0,1,0,78,86,90.7,435,60,139,1,1,Match Report
2020-02-26,Wed,Champions Lg,Round of 16,Away,L 0–1,it Juventus,fr Lyon,Y,CM,90,0,0,0,0,0,0,0,0,68,33,5,1,3,0.0,0.0,0.0,1,0,41,55,74.5,158,45,114,4,5,Match Report
2020-03-08,Sun,Serie A,Matchweek 26,Home,W 2–0,Juventus,Inter,Y,DM,90,0,0,0,0,0,0,0,0,72,17,2,0,3,0.0,0.0,0.3,5,0,59,64,92.2,376,53,71,0,0,Match Report
2020-06-12,Fri,Coppa Italia,Semi-finals,Home,D 0–0,Juventus,Milan,Y,CM,90,0,0,0,0,1,0,0,0,,,,0,,,,,,,,,,,,,,,Match Report
2020-06-17,Wed,Coppa Italia,Final,Away,L 0 (2)–0 (4),Juventus,Napoli,Y,CM,120,0,0,0,0,2,1,0,0,,,,2,,,,,,,,,,,,,,,Match Report
2020-06-22,Mon,Serie A,Matchweek 27,Away,W 2–0,Juventus,Bologna,Y,CMDM,90,0,0,0,0,0,0,1,0,54,25,3,1,2,0.0,0.0,0.1,1,0,39,48,81.3,139,34,55,0,0,Match Report
2020-06-26,Fri,Serie A,Matchweek 28,Home,W 4–0,Juventus,Lecce,Y,CM,67,0,0,0,0,2,0,1,0,57,11,0,1,2,0.1,0.1,0.0,2,0,38,48,79.2,165,43,100,1,2,Match Report
2020-06-30,Tue,Serie A,Matchweek 29,Away,W 3–1,Juventus,Genoa,Y,CM,90,0,0,0,0,0,0,0,0,99,24,5,0,3,0.0,0.0,0.1,4,0,71,88,80.7,251,64,143,4,5,Match Report
2020-07-04,Sat,Serie A,Matchweek 30,Home,W 4–1,Juventus,Torino,Y,CMDM,90,0,0,0,0,1,0,0,0,57,31,5,0,2,0.1,0.1,0.0,2,0,37,47,78.7,128,40,96,1,2,Match Report
2020-07-07,Tue,Serie A,Matchweek 31,Away,L 2–4,Juventus,Milan,Y,CMDM,89,0,0,0,0,1,0,0,0,62,18,4,0,2,0.0,0.0,0.0,2,0,45,52,86.5,220,49,81,3,3,Match Report
2020-07-11,Sat,Serie A,Matchweek 32,Home,D 2–2,Juventus,Atalanta,Y,CM,90,0,0,0,0,0,0,0,0,95,25,3,3,5,0.0,0.0,0.1,3,0,74,82,90.2,317,58,85,0,1,Match Report
,,,,,26-10-7,,,33/43,,2968,1,6,0,0,20,5,13,1,1891,601,81,41,58,0.5,0.5,3.2,67,11,1403,1608,87.3,6014,1326,2810,37,53,
