,,,,,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Dribbles,Dribbles,
Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist,Succ,Att,Match Report
2019-12-22,Sun,Supercoppa Italiana,Supercoppa Italiana,Neutral,L 1–3,Juventus,Lazio,Y,DM,90,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,Match Report
2020-01-06,Mon,Serie A,Matchweek 18,Home,W 4–0,Juventus,Cagliari,Y,DM,90,0,0,0,0,0,0,0,0,138,10,3,2,1,0.0,0.0,0.1,2,0,122,130,93.8,665,88,170,0,0,Match Report
2020-01-12,Sun,Serie A,Matchweek 19,Away,W 2–1,Juventus,Roma,Y,DM,90,0,0,0,0,0,0,1,0,69,11,0,1,3,0.0,0.0,0.0,0,0,56,62,90.3,331,41,68,0,0,Match Report
2020-01-19,Sun,Serie A,Matchweek 20,Home,W 2–1,Juventus,Parma,Y,DM,90,0,0,0,0,0,0,0,0,82,21,1,2,0,0.0,0.0,0.2,3,1,68,78,87.2,354,53,119,0,1,Match Report
2020-01-22,Wed,Coppa Italia,Quarter-finals,Home,W 3–1,Juventus,Roma,Y,CM,90,0,0,0,0,2,0,0,0,,,,2,,,,,,,,,,,,,,,Match Report
2020-01-26,Sun,Serie A,Matchweek 21,Away,L 1–2,Juventus,Napoli,Y,DM,49,0,0,0,0,0,0,0,0,61,17,2,0,1,0.0,0.0,0.0,2,0,48,54,88.9,172,43,123,2,2,Match Report
2020-02-02,Sun,Serie A,Matchweek 22,Home,W 3–0,Juventus,Fiorentina,Y,DM,90,0,0,0,0,1,0,0,0,75,15,1,1,0,0.0,0.0,0.0,2,1,64,69,92.8,223,49,130,0,0,Match Report
2020-02-08,Sat,Serie A,Matchweek 23,Away,L 1–2,Juventus,Hellas Verona,Y,DMCM,90,0,0,0,0,0,0,0,0,56,19,3,0,3,0.0,0.0,0.0,3,0,29,42,69.0,84,25,29,1,1,Match Report
2020-02-13,Thu,Coppa Italia,Semi-finals,Away,D 1–1,Juventus,Milan,Y,CM,90,0,0,0,0,1,0,0,0,,,,0,,,,,,,,,,,,,,,Match Report
2020-02-16,Sun,Serie A,Matchweek 24,Home,W 2–0,Juventus,Brescia,N,DMCM,7,0,0,0,0,0,0,0,0,15,3,0,1,0,0.0,0.0,0.0,0,0,11,13,84.6,60,11,24,0,0,Match Report
