,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls▼,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
26,Sébastien Haller\Sebastien-Haller,fr FRA,FW,West Ham,25,1994,27,24,2147,7,1,0,0,1,0,0.29,0.04,0.34,0.29,0.34,7.0,7.0,1.9,0.30,0.08,0.38,0.30,0.38,Matches
27,Alexandre Lacazette\Alexandre-Lacazette,fr FRA,FW,Arsenal,28,1991,20,15,1315,7,3,0,0,5,0,0.48,0.21,0.68,0.48,0.68,5.5,5.5,2.1,0.37,0.15,0.52,0.37,0.52,Matches
28,Riyad Mahrez\Riyad-Mahrez,dz ALG,FWMF,Manchester City,28,1991,23,15,1389,7,8,0,0,0,0,0.45,0.52,0.97,0.45,0.97,3.9,3.9,7.0,0.25,0.46,0.71,0.25,0.71,Matches
29,Ayoze Pérez\Ayoze-Perez,es ESP,MFFW,Leicester City,26,1993,25,21,1581,7,4,1,1,0,0,0.40,0.23,0.63,0.34,0.57,5.1,4.3,3.0,0.29,0.17,0.46,0.24,0.42,Matches
30,Harry Wilson\Harry-Wilson,wal WAL,MFFW,Bournemouth,22,1997,23,19,1435,7,0,0,0,1,0,0.44,0.00,0.44,0.44,0.44,3.5,3.5,1.8,0.22,0.11,0.33,0.22,0.33,Matches
31,Ashley Barnes\Ashley-Barnes,at AUT,FW,Burnley,29,1989,19,17,1352,6,0,1,1,4,0,0.40,0.00,0.40,0.33,0.33,5.4,4.6,0.5,0.36,0.03,0.39,0.31,0.34,Matches
32,Harvey Barnes\Harvey-Barnes,eng ENG,MF,Leicester City,21,1997,27,20,1709,6,6,0,0,0,0,0.32,0.32,0.63,0.32,0.63,6.9,6.9,2.4,0.36,0.13,0.49,0.36,0.49,Matches
33,Todd Cantwell\Todd-Cantwell,eng ENG,FW,Norwich City,21,1998,29,25,2070,6,2,0,0,4,0,0.26,0.09,0.35,0.26,0.35,5.7,5.7,2.6,0.25,0.11,0.36,0.25,0.36,Matches
34,Troy Deeney\Troy-Deeney,eng ENG,FW,Watford,31,1988,18,17,1502,6,2,2,3,3,0,0.36,0.12,0.48,0.24,0.36,6.3,4.1,2.4,0.38,0.14,0.52,0.24,0.39,Matches
35,Diogo Jota\Diogo-Jota,pt POR,FWMF,Wolves,22,1996,25,21,1761,6,1,0,0,3,0,0.31,0.05,0.36,0.31,0.36,8.5,8.5,2.6,0.43,0.13,0.57,0.43,0.57,Matches
36,James Maddison\James-Maddison,eng ENG,MF,Leicester City,22,1996,28,27,2399,6,3,0,0,4,0,0.23,0.11,0.34,0.23,0.34,4.4,4.4,6.7,0.17,0.25,0.42,0.17,0.42,Matches
37,Mason Mount\Mason-Mount,eng ENG,MFFW,Chelsea,20,1999,29,25,2298,6,4,0,0,3,0,0.23,0.16,0.39,0.23,0.39,5.9,5.9,3.4,0.23,0.13,0.36,0.23,0.36,Matches
38,John Fleck\John-Fleck,sco SCO,MF,Sheffield Utd,27,1991,25,25,2188,5,2,0,0,7,0,0.21,0.08,0.29,0.21,0.29,3.4,3.4,3.2,0.14,0.13,0.27,0.14,0.27,Matches
