,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls▼,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
106,Lewis Dunk\Lewis-Dunk,eng ENG,DF,Brighton,27,1991,27,27,2430,2,3,0,0,9,0,0.07,0.11,0.19,0.07,0.19,3.2,3.2,0.9,0.12,0.03,0.15,0.12,0.15,Matches
107,Christian Eriksen\Christian-Eriksen,dk DEN,MFFW,Tottenham,27,1992,20,10,1097,2,2,0,0,5,0,0.16,0.16,0.33,0.16,0.33,2.0,2.0,2.0,0.16,0.17,0.33,0.16,0.33,Matches
108,Bruno Fernandes\Bruno-Fernandes,pt POR,MF,Manchester Utd,24,1994,5,5,446,2,3,1,1,1,0,0.40,0.61,1.01,0.20,0.81,1.9,1.1,0.9,0.38,0.18,0.56,0.23,0.41,Matches
109,Federico Fernández\Federico-Fernandez,ar ARG,DF,Newcastle Utd,30,1989,23,20,1810,2,1,0,0,4,0,0.10,0.05,0.15,0.10,0.15,1.4,1.4,0.3,0.07,0.02,0.09,0.07,0.09,Matches
110,Pablo Fornals\Pablo-Fornals,es ESP,MF,West Ham,23,1996,27,15,1465,2,5,0,0,2,0,0.12,0.31,0.43,0.12,0.43,2.5,2.5,2.0,0.16,0.12,0.28,0.16,0.28,Matches
111,Olivier Giroud\Olivier-Giroud,fr FRA,FW,Chelsea,32,1986,9,5,441,2,0,0,0,0,0,0.41,0.00,0.41,0.41,0.41,1.9,1.9,0.8,0.38,0.17,0.55,0.38,0.55,Matches
112,Dan Gosling\Dan-Gosling,eng ENG,MF,Bournemouth,29,1990,16,10,884,2,1,0,0,1,0,0.20,0.10,0.31,0.20,0.31,1.6,1.6,0.3,0.16,0.03,0.19,0.16,0.19,Matches
113,Andre Gray\Andre-Gray,eng ENG,FW,Watford,28,1991,20,7,724,2,0,0,0,1,0,0.25,0.00,0.25,0.25,0.25,2.8,2.8,1.7,0.35,0.21,0.55,0.35,0.55,Matches
114,Pascal Groß\Pascal-Gross,de GER,MFFW,Brighton,28,1991,23,18,1488,2,4,0,0,2,0,0.12,0.24,0.36,0.12,0.36,1.8,1.8,4.9,0.11,0.30,0.41,0.11,0.41,Matches
115,İlkay Gündoğan\Ilkay-Gundogan,de GER,MF,Manchester City,28,1990,25,17,1593,2,1,1,2,7,0,0.11,0.06,0.17,0.06,0.11,4.3,2.8,2.4,0.24,0.14,0.38,0.16,0.29,Matches
116,Jeff Hendrick\Jeff-Hendrick,ie IRL,MF,Burnley,27,1992,24,22,1931,2,2,0,0,8,0,0.09,0.09,0.19,0.09,0.19,1.7,1.7,0.8,0.08,0.04,0.12,0.08,0.12,Matches
117,Alireza Jahanbakhsh\Alireza-Jahanbakhsh,ir IRN,FWMF,Brighton,25,1993,8,3,289,2,0,0,0,0,0,0.62,0.00,0.62,0.62,0.62,0.5,0.5,0.1,0.15,0.02,0.17,0.15,0.17,Matches
118,Érik Lamela\Erik-Lamela,ar ARG,MFFW,Tottenham,27,1992,17,10,936,2,1,0,0,3,0,0.19,0.10,0.29,0.19,0.29,2.2,2.2,1.6,0.21,0.15,0.36,0.21,0.36,Matches
119,Florian Lejeune\Florian-Lejeune,fr FRA,DF,Newcastle Utd,28,1991,6,4,442,2,0,0,0,0,0,0.41,0.00,0.41,0.41,0.41,0.7,0.7,0.1,0.13,0.01,0.15,0.13,0.15,Matches
120,Shane Long\Shane-Long,ie IRL,FW,Southampton,32,1987,19,13,1136,2,2,0,0,0,0,0.16,0.16,0.32,0.16,0.32,4.5,4.5,1.2,0.36,0.10,0.45,0.36,0.45,Matches
121,Matthew Longstaff\Matthew-Longstaff,eng ENG,MF,Newcastle Utd,19,2000,7,6,545,2,0,0,0,1,0,0.33,0.00,0.33,0.33,0.33,0.3,0.3,0.2,0.06,0.03,0.09,0.06,0.09,Matches
122,David Luiz\David-Luiz,br BRA,DF,Arsenal,32,1987,25,25,2185,2,1,0,0,4,1,0.08,0.04,0.12,0.08,0.12,1.5,1.5,1.0,0.06,0.04,0.10,0.06,0.10,Matches
123,Dwight McNeil\Dwight-McNeil,eng ENG,MF,Burnley,19,1999,29,29,2528,2,5,0,0,4,0,0.07,0.18,0.25,0.07,0.25,1.5,1.5,5.5,0.05,0.20,0.25,0.05,0.25,Matches
124,Luka Milivojević\Luka-Milivojevic,rs SRB,MF,Crystal Palace,28,1991,23,22,1986,2,1,2,2,9,0,0.09,0.05,0.14,0.00,0.05,2.1,0.6,1.9,0.10,0.09,0.18,0.03,0.11,Matches
125,James Milner\James-Milner,eng ENG,MFDF,Liverpool,33,1986,18,7,769,2,2,2,2,3,0,0.23,0.23,0.47,0.00,0.23,2.0,0.5,0.6,0.24,0.07,0.31,0.06,0.13,Matches
126,Yerry Mina\Yerry-Mina,co COL,DF,Everton,24,1994,25,23,2086,2,1,0,0,3,0,0.09,0.04,0.13,0.09,0.13,2.6,2.6,0.2,0.11,0.01,0.12,0.11,0.12,Matches
127,Tyrone Mings\Tyrone-Mings,eng ENG,DF,Aston Villa,26,1993,23,23,2002,2,1,0,0,5,0,0.09,0.04,0.13,0.09,0.13,0.9,0.9,0.5,0.04,0.02,0.07,0.04,0.07,Matches
128,Aaron Mooy\Aaron-Mooy,au AUS,MFFW,Brighton,28,1990,22,20,1653,2,1,0,0,2,1,0.11,0.05,0.16,0.11,0.16,1.9,1.9,2.8,0.11,0.15,0.26,0.11,0.26,Matches
129,Wilfred Ndidi\Wilfred-Ndidi,ng NGA,MF,Leicester City,22,1996,23,20,1894,2,1,0,0,3,0,0.10,0.05,0.14,0.10,0.14,1.5,1.5,0.4,0.07,0.02,0.09,0.07,0.09,Matches
130,Tanguy Ndombele\Tanguy-Ndombele,fr FRA,MF,Tottenham,22,1996,19,12,944,2,2,0,0,2,0,0.19,0.19,0.38,0.19,0.38,0.4,0.4,1.3,0.04,0.12,0.16,0.04,0.16,Matches
131,Pedro Neto\Pedro-Neto,pt POR,FWMF,Wolves,19,2000,21,7,735,2,2,0,0,2,0,0.24,0.24,0.49,0.24,0.49,1.4,1.4,2.3,0.17,0.28,0.44,0.17,0.44,Matches
132,Rúben Neves\Ruben-Neves,pt POR,MF,Wolves,22,1997,29,26,2278,2,1,0,0,7,0,0.08,0.04,0.12,0.08,0.12,1.3,1.3,1.3,0.05,0.05,0.10,0.05,0.10,Matches
133,Michael Obafemi\Michael-Obafemi,ie IRL,FW,Southampton,19,2000,15,5,488,2,0,0,0,1,0,0.37,0.00,0.37,0.37,0.37,0.9,0.9,0.7,0.16,0.13,0.29,0.16,0.29,Matches
134,Angelo Ogbonna\Angelo-Ogbonna,it ITA,DF,West Ham,31,1988,24,24,2160,2,0,0,0,4,0,0.08,0.00,0.08,0.08,0.08,1.5,1.5,0.0,0.06,0.00,0.06,0.06,0.06,Matches
135,Nicolás Otamendi\Nicolas-Otamendi,ar ARG,DF,Manchester City,31,1988,19,15,1416,2,0,0,0,3,0,0.13,0.00,0.13,0.13,0.13,2.3,2.3,0.2,0.15,0.01,0.16,0.15,0.16,Matches
136,Sokratis Papastathopoulos\Sokratis-Papastathopoulos,gr GRE,DF,Arsenal,31,1988,19,19,1696,2,0,0,0,6,0,0.11,0.00,0.11,0.11,0.11,1.1,1.1,0.2,0.06,0.01,0.07,0.06,0.07,Matches
137,Antonio Rüdiger\Antonio-Rudiger,de GER,DF,Chelsea,26,1993,13,13,1125,2,0,0,0,3,0,0.16,0.00,0.16,0.16,0.16,0.4,0.4,0.3,0.04,0.02,0.06,0.04,0.06,Matches
138,Allan Saint-Maximin\Allan-Saint-Maximin,fr FRA,MFFW,Newcastle Utd,22,1997,18,15,1268,2,1,0,0,0,0,0.14,0.07,0.21,0.14,0.21,2.3,2.3,2.5,0.16,0.18,0.34,0.16,0.34,Matches
139,Romain Saïss\Romain-Saiss,ma MAR,DF,Wolves,29,1990,25,23,1985,2,1,0,0,10,1,0.09,0.05,0.14,0.09,0.14,2.3,2.3,0.5,0.10,0.02,0.13,0.10,0.13,Matches
140,Fabian Schär\Fabian-Schar,ch SUI,DF,Newcastle Utd,27,1991,18,15,1396,2,0,0,0,4,0,0.13,0.00,0.13,0.13,0.13,1.2,1.2,0.1,0.08,0.01,0.08,0.08,0.08,Matches
141,Jeffrey Schlupp\Jeffrey-Schlupp,gh GHA,MFDF,Crystal Palace,26,1992,14,9,861,2,1,0,0,2,0,0.21,0.10,0.31,0.21,0.31,1.5,1.5,1.1,0.16,0.12,0.28,0.16,0.28,Matches
142,Moussa Sissoko\Moussa-Sissoko,fr FRA,MF,Tottenham,29,1989,20,19,1689,2,1,0,0,6,0,0.11,0.05,0.16,0.11,0.16,2.0,2.0,1.0,0.11,0.05,0.16,0.11,0.16,Matches
143,Enda Stevens\Enda-Stevens,ie IRL,DF,Sheffield Utd,29,1990,28,28,2445,2,2,0,0,5,0,0.07,0.07,0.15,0.07,0.15,0.9,0.9,3.5,0.03,0.13,0.16,0.03,0.16,Matches
144,Matěj Vydra\Matej-Vydra,cz CZE,FW,Burnley,27,1992,10,2,336,2,1,0,0,0,0,0.54,0.27,0.80,0.54,0.80,2.3,2.3,0.2,0.61,0.05,0.66,0.61,0.66,Matches
145,Ashley Westwood\Ashley-Westwood,eng ENG,MF,Burnley,29,1990,26,26,2340,2,5,0,0,9,0,0.08,0.19,0.27,0.08,0.27,1.1,1.1,4.0,0.04,0.15,0.20,0.04,0.20,Matches
146,Jetro Willems\Jetro-Willems,nl NED,DF,Newcastle Utd,25,1994,19,18,1493,2,2,0,0,0,0,0.12,0.12,0.24,0.12,0.24,0.6,0.6,1.3,0.03,0.08,0.11,0.03,0.11,Matches
147,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,30,1989,27,27,2417,1,2,0,0,4,0,0.04,0.07,0.11,0.04,0.11,0.8,0.8,0.9,0.03,0.03,0.06,0.03,0.06,Matches
148,Felipe Anderson\Felipe-Anderson,br BRA,MFFW,West Ham,26,1993,22,19,1407,1,4,0,0,1,0,0.06,0.26,0.32,0.06,0.32,2.5,2.5,2.9,0.16,0.18,0.34,0.16,0.34,Matches
149,Florin Andone\Florin-Andone,ro ROU,MFFW,Brighton,26,1993,3,1,73,1,0,0,0,0,1,1.23,0.00,1.23,1.23,1.23,0.2,0.2,0.0,0.19,0.05,0.24,0.19,0.24,Matches
150,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,26,1992,24,22,1911,1,4,0,0,3,1,0.05,0.19,0.24,0.05,0.24,0.5,0.5,2.4,0.02,0.11,0.13,0.02,0.13,Matches
151,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,27,1991,13,12,1081,1,0,0,0,2,0,0.08,0.00,0.08,0.08,0.08,1.7,1.7,0.0,0.14,0.00,0.14,0.14,0.14,Matches
152,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Chelsea,25,1993,16,1,239,1,1,0,0,0,0,0.38,0.38,0.75,0.38,0.75,2.2,2.2,0.2,0.82,0.06,0.88,0.82,0.88,Matches
153,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,23,1996,27,27,2427,1,0,0,0,3,0,0.04,0.00,0.04,0.04,0.04,0.8,0.8,0.1,0.03,0.00,0.03,0.03,0.03,Matches
154,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,24,1995,8,7,624,1,0,0,0,2,0,0.14,0.00,0.14,0.14,0.14,0.2,0.2,0.1,0.03,0.01,0.04,0.03,0.04,Matches
155,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,28,1990,20,9,926,1,1,0,0,4,0,0.10,0.10,0.19,0.10,0.19,3.4,3.4,2.2,0.33,0.21,0.55,0.33,0.55,Matches
156,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,28,1990,7,4,400,1,0,0,0,0,0,0.23,0.00,0.23,0.23,0.23,0.6,0.6,0.5,0.13,0.11,0.24,0.13,0.24,Matches
157,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,29,1989,24,23,2022,1,1,0,0,3,1,0.04,0.04,0.09,0.04,0.09,1.8,1.8,3.1,0.08,0.14,0.22,0.08,0.22,Matches
158,Philip Billing\Philip-Billing,dk DEN,MF,Bournemouth,23,1996,27,25,2164,1,1,0,0,7,0,0.04,0.04,0.08,0.04,0.08,2.0,2.0,1.3,0.08,0.05,0.14,0.08,0.14,Matches
159,Jarrod Bowen\Jarrod-Bowen,eng ENG,FWMF,West Ham,22,1996,4,2,184,1,0,0,0,0,0,0.49,0.00,0.49,0.49,0.49,0.7,0.7,0.4,0.33,0.21,0.53,0.33,0.53,Matches
160,Robbie Brady\Robbie-Brady,ie IRL,MF,Burnley,27,1992,14,5,401,1,2,0,0,1,0,0.22,0.45,0.67,0.22,0.67,0.9,0.9,0.2,0.21,0.04,0.25,0.21,0.25,Matches
161,Jonny Castro\Jonny-Castro,es ESP,DF,Wolves,25,1994,26,25,2194,1,1,0,0,4,0,0.04,0.04,0.08,0.04,0.08,1.1,1.1,0.8,0.04,0.03,0.08,0.04,0.08,Matches
162,Calum Chambers\Calum-Chambers,eng ENG,DF,Arsenal,24,1995,14,13,1102,1,1,0,0,5,0,0.08,0.08,0.16,0.08,0.16,0.6,0.6,0.8,0.05,0.06,0.12,0.05,0.12,Matches
163,Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,21,1997,16,9,784,1,1,0,0,4,1,0.11,0.11,0.23,0.11,0.23,0.5,0.5,0.1,0.06,0.01,0.07,0.06,0.07,Matches
164,Tom Cleverley\Tom-Cleverley,eng ENG,MF,Watford,29,1989,10,8,657,1,0,0,0,0,0,0.14,0.00,0.14,0.14,0.14,1.5,1.5,0.4,0.20,0.06,0.26,0.20,0.26,Matches
165,Steve Cook\Steve-Cook,eng ENG,DF,Bournemouth,28,1991,22,22,1848,1,0,0,0,4,1,0.05,0.00,0.05,0.05,0.05,0.7,0.7,0.3,0.03,0.01,0.05,0.03,0.05,Matches
166,Tom Davies\Tom-Davies,eng ENG,MF,Everton,21,1998,21,15,1371,1,0,0,0,7,0,0.07,0.00,0.07,0.07,0.07,1.7,1.7,0.3,0.11,0.02,0.13,0.11,0.13,Matches
167,Josip Drmić\Josip-Drmic,ch SUI,FWMF,Norwich City,26,1992,14,0,228,1,0,0,0,0,0,0.39,0.00,0.39,0.39,0.39,2.4,2.4,0.1,0.93,0.04,0.97,0.93,0.97,Matches
168,Shane Duffy\Shane-Duffy,ie IRL,DF,Brighton,27,1992,15,11,1075,1,0,0,0,1,0,0.08,0.00,0.08,0.08,0.08,1.5,1.5,0.0,0.13,0.00,0.13,0.13,0.13,Matches
169,Björn Engels\Bjorn-Engels,be BEL,DF,Aston Villa,24,1994,17,15,1447,1,0,0,0,1,0,0.06,0.00,0.06,0.06,0.06,0.9,0.9,0.1,0.05,0.01,0.06,0.05,0.06,Matches
170,Jonny Evans\Jonny-Evans,nir NIR,DF,Leicester City,31,1988,29,29,2574,1,1,0,0,5,0,0.03,0.03,0.07,0.03,0.07,2.1,2.1,0.4,0.07,0.01,0.09,0.07,0.09,Matches
171,Fabinho\Fabinho,br BRA,MF,Liverpool,25,1993,20,15,1449,1,1,0,0,5,0,0.06,0.06,0.12,0.06,0.12,0.2,0.2,1.2,0.01,0.08,0.09,0.01,0.09,Matches
172,Ryan Fraser\Ryan-Fraser,sco SCO,MFFW,Bournemouth,25,1994,28,21,2067,1,4,0,0,2,0,0.04,0.17,0.22,0.04,0.22,3.3,3.3,4.0,0.14,0.18,0.32,0.14,0.32,Matches
173,Demarai Gray\Demarai-Gray,eng ENG,MFFW,Leicester City,23,1996,14,2,421,1,1,0,1,1,0,0.21,0.21,0.43,0.21,0.43,1.9,1.1,0.7,0.40,0.15,0.55,0.24,0.39,Matches
174,Isaac Hayden\Isaac-Hayden,eng ENG,MF,Newcastle Utd,24,1995,24,23,1966,1,1,0,0,4,1,0.05,0.05,0.09,0.05,0.09,0.9,0.9,1.5,0.04,0.07,0.11,0.04,0.11,Matches
175,Javier Hernández\Javier-Hernandez,mx MEX,FW,West Ham,31,1988,2,1,107,1,0,0,0,0,0,0.84,0.00,0.84,0.84,0.84,0.7,0.7,0.0,0.62,0.00,0.62,0.62,0.62,Matches
176,Onel Hernández\Onel-Hernandez,cu CUB,FWMF,Norwich City,26,1993,17,7,765,1,1,0,0,0,0,0.12,0.12,0.24,0.12,0.24,1.1,1.1,0.6,0.13,0.07,0.20,0.13,0.20,Matches
177,Callum Hudson-Odoi\Callum-Hudson-Odoi,eng ENG,FW,Chelsea,18,2000,17,7,777,1,4,0,0,1,0,0.12,0.46,0.58,0.12,0.58,2.0,2.0,2.3,0.23,0.27,0.49,0.23,0.49,Matches
178,Will Hughes\Will-Hughes,eng ENG,MF,Watford,24,1995,21,18,1510,1,1,0,0,4,0,0.06,0.06,0.12,0.06,0.12,2.4,2.4,0.8,0.14,0.05,0.19,0.14,0.19,Matches
179,Alex Iwobi\Alex-Iwobi,ng NGA,MFFW,Everton,23,1996,18,13,1167,1,0,0,0,0,0,0.08,0.00,0.08,0.08,0.08,2.1,2.1,2.0,0.16,0.15,0.31,0.16,0.31,Matches
180,Joelinton\Joelinton,br BRA,FW,Newcastle Utd,22,1996,29,27,2223,1,2,0,0,6,0,0.04,0.08,0.12,0.04,0.12,3.9,3.9,2.2,0.16,0.09,0.25,0.16,0.25,Matches
181,Moise Kean\Moise-Kean,it ITA,FWMF,Everton,19,2000,22,5,687,1,2,0,0,0,0,0.13,0.26,0.39,0.13,0.39,3.0,3.0,0.5,0.40,0.07,0.46,0.40,0.46,Matches
182,Michael Keane\Michael-Keane,eng ENG,DF,Everton,26,1993,22,19,1749,1,0,0,0,0,0,0.05,0.00,0.05,0.05,0.05,1.4,1.4,0.4,0.07,0.02,0.09,0.07,0.09,Matches
183,Naby Keïta\Naby-Keita,gn GUI,MF,Liverpool,24,1995,9,4,370,1,1,0,0,1,0,0.24,0.24,0.49,0.24,0.49,1.4,1.4,1.2,0.33,0.29,0.62,0.33,0.62,Matches
184,Cheikhou Kouyaté\Cheikhou-Kouyate,sn SEN,MF,Crystal Palace,29,1989,27,23,1985,1,1,0,0,2,0,0.05,0.05,0.09,0.05,0.09,1.8,1.8,0.9,0.08,0.04,0.12,0.08,0.12,Matches
185,Mateo Kovačić\Mateo-Kovacic,hr CRO,MF,Chelsea,25,1994,25,18,1685,1,3,0,0,7,0,0.05,0.16,0.21,0.05,0.21,1.1,1.1,1.9,0.06,0.10,0.16,0.06,0.16,Matches
186,Adam Lallana\Adam-Lallana,eng ENG,MFFW,Liverpool,31,1988,15,3,382,1,1,0,0,1,0,0.24,0.24,0.47,0.24,0.47,1.1,1.1,0.6,0.25,0.14,0.39,0.25,0.39,Matches
187,Jamaal Lascelles\Jamaal-Lascelles,eng ENG,DF,Newcastle Utd,25,1993,19,19,1630,1,0,0,0,2,0,0.06,0.00,0.06,0.06,0.06,0.3,0.3,0.1,0.02,0.01,0.03,0.02,0.03,Matches
188,Jefferson Lerma\Jefferson-Lerma,co COL,MF,Bournemouth,24,1994,24,22,1943,1,2,0,0,11,1,0.05,0.09,0.14,0.05,0.14,0.8,0.8,1.6,0.04,0.07,0.11,0.04,0.11,Matches
189,Jamal Lewis\Jamal-Lewis,nir NIR,DF,Norwich City,21,1998,19,16,1498,1,0,0,0,2,0,0.06,0.00,0.06,0.06,0.06,0.3,0.3,0.4,0.02,0.02,0.04,0.02,0.04,Matches
190,Victor Lindelöf\Victor-Lindelof,se SWE,DF,Manchester Utd,25,1994,26,26,2340,1,0,0,0,5,0,0.04,0.00,0.04,0.04,0.04,0.4,0.4,0.4,0.01,0.02,0.03,0.01,0.03,Matches
191,Harry Maguire\Harry-Maguire,eng ENG,DF,Manchester Utd,26,1993,29,29,2610,1,1,0,0,4,0,0.03,0.03,0.07,0.03,0.07,1.8,1.8,0.5,0.06,0.02,0.08,0.06,0.08,Matches
192,Adam Masina\Adam-Masina,it ITA,DF,Watford,25,1994,17,13,1225,1,0,0,0,3,0,0.07,0.00,0.07,0.07,0.07,0.3,0.3,0.5,0.02,0.04,0.05,0.02,0.05,Matches
193,Joël Matip\Joel-Matip,cm CMR,DF,Liverpool,27,1991,8,7,631,1,0,0,0,0,0,0.14,0.00,0.14,0.14,0.14,0.2,0.2,0.0,0.03,0.00,0.03,0.03,0.03,Matches
194,Kenny McLean\Kenny-McLean,sco SCO,MF,Norwich City,27,1992,28,25,2290,1,1,0,0,4,0,0.04,0.04,0.08,0.04,0.08,1.4,1.4,1.6,0.05,0.06,0.11,0.05,0.11,Matches
195,Chris Mepham\Chris-Mepham,wal WAL,DF,Bournemouth,21,1997,11,10,901,1,0,0,0,1,0,0.10,0.00,0.10,0.10,0.10,0.6,0.6,0.1,0.06,0.01,0.07,0.06,0.07,Matches
196,João Moutinho\Joao-Moutinho,pt POR,MF,Wolves,32,1986,29,27,2436,1,6,0,0,5,0,0.04,0.22,0.26,0.04,0.26,0.8,0.8,5.3,0.03,0.19,0.22,0.03,0.22,Matches
197,Glenn Murray\Glenn-Murray,eng ENG,FW,Brighton,35,1983,19,6,711,1,0,0,0,0,0,0.13,0.00,0.13,0.13,0.13,2.0,2.0,0.4,0.26,0.05,0.31,0.26,0.31,Matches
198,Eddie Nketiah\Eddie-Nketiah,eng ENG,FW,Arsenal,20,1999,5,3,251,1,0,0,0,0,0,0.36,0.00,0.36,0.36,0.36,1.4,1.4,0.3,0.51,0.10,0.61,0.51,0.61,Matches
199,Oliver Norwood\Oliver-Norwood,nir NIR,MF,Sheffield Utd,28,1991,28,28,2373,1,0,1,1,6,0,0.04,0.00,0.04,0.00,0.00,1.5,0.7,3.4,0.06,0.13,0.19,0.03,0.16,Matches
200,Mesut Özil\Mesut-Ozil,de GER,MF,Arsenal,30,1988,18,18,1438,1,2,0,0,1,0,0.06,0.13,0.19,0.06,0.19,1.4,1.4,2.3,0.09,0.14,0.23,0.09,0.23,Matches
201,Pedro\Pedro,es ESP,FW,Chelsea,32,1987,9,8,654,1,1,0,0,1,0,0.14,0.14,0.28,0.14,0.28,2.6,2.6,0.8,0.35,0.11,0.46,0.35,0.46,Matches
202,Andreas Pereira\Andreas-Pereira,br BRA,MFFW,Manchester Utd,23,1996,23,18,1446,1,3,0,0,3,0,0.06,0.19,0.25,0.06,0.25,2.3,2.3,3.6,0.14,0.22,0.37,0.14,0.37,Matches
203,Dennis Praet\Dennis-Praet,be BEL,MF,Leicester City,25,1994,21,11,969,1,2,0,0,2,0,0.09,0.19,0.28,0.09,0.28,1.2,1.2,0.6,0.11,0.06,0.17,0.11,0.17,Matches
204,Davy Pröpper\Davy-Propper,nl NED,MF,Brighton,27,1991,26,26,2340,1,2,0,0,4,0,0.04,0.08,0.12,0.04,0.12,1.4,1.4,1.9,0.05,0.07,0.13,0.05,0.13,Matches
205,Andrew Robertson\Andrew-Robertson,sco SCO,DF,Liverpool,25,1994,28,27,2444,1,7,0,0,1,0,0.04,0.26,0.29,0.04,0.29,1.3,1.3,5.6,0.05,0.21,0.25,0.05,0.25,Matches
206,Callum Robinson\Callum-Robinson,ie IRL,FW,Sheffield Utd,24,1995,16,9,676,1,1,0,0,1,0,0.13,0.13,0.27,0.13,0.27,2.1,2.1,0.5,0.28,0.07,0.35,0.28,0.35,Matches
207,Mbwana Samatta\Mbwana-Samatta,tz TAN,FW,Aston Villa,26,1992,4,4,352,1,0,0,0,0,0,0.26,0.00,0.26,0.26,0.26,1.0,1.0,0.2,0.25,0.04,0.29,0.25,0.29,Matches
208,Xherdan Shaqiri\Xherdan-Shaqiri,ch SUI,FW,Liverpool,27,1991,6,2,177,1,0,0,0,0,0,0.51,0.00,0.51,0.51,0.51,0.5,0.5,0.2,0.24,0.08,0.31,0.24,0.31,Matches
209,Gylfi Sigurðsson\Gylfi-Sigurdsson,is ISL,MF,Everton,29,1989,26,23,1994,1,2,0,0,3,0,0.05,0.09,0.14,0.05,0.14,3.1,3.1,3.5,0.14,0.16,0.30,0.14,0.30,Matches
210,Çağlar Söyüncü\Caglar-Soyuncu,tr TUR,DF,Leicester City,23,1996,28,28,2520,1,1,0,0,4,0,0.04,0.04,0.07,0.04,0.07,2.1,2.1,0.2,0.08,0.01,0.08,0.08,0.08,Matches
211,Dennis Srbeny\Dennis-Srbeny,de GER,MFFW,Norwich City,25,1994,8,0,47,1,0,0,0,0,0,1.91,0.00,1.91,1.91,1.91,0.5,0.5,0.0,0.89,0.00,0.89,0.89,0.89,Matches
212,Jack Stephens\Jack-Stephens,eng ENG,DF,Southampton,25,1994,21,20,1827,1,3,0,0,2,0,0.05,0.15,0.20,0.05,0.20,0.8,0.8,0.8,0.04,0.04,0.08,0.04,0.08,Matches
213,Matt Targett\Matt-Targett,eng ENG,DF,Aston Villa,23,1995,20,20,1687,1,2,0,0,3,0,0.05,0.11,0.16,0.05,0.16,0.4,0.4,2.7,0.02,0.14,0.16,0.02,0.16,Matches
214,James Tarkowski\James-Tarkowski,eng ENG,DF,Burnley,26,1992,29,29,2610,1,1,0,0,8,0,0.03,0.03,0.07,0.03,0.07,1.6,1.6,1.6,0.05,0.05,0.11,0.05,0.11,Matches
215,Alexander Tettey\Alexander-Tettey,no NOR,MFDF,Norwich City,33,1986,23,21,1782,1,1,0,0,4,0,0.05,0.05,0.10,0.05,0.10,0.7,0.7,0.8,0.03,0.04,0.07,0.03,0.07,Matches
216,James Tomkins\James-Tomkins,eng ENG,DF,Crystal Palace,30,1989,18,18,1582,1,1,0,0,5,0,0.06,0.06,0.11,0.06,0.11,1.3,1.3,0.1,0.08,0.01,0.08,0.08,0.08,Matches
217,Fikayo Tomori\Fikayo-Tomori,eng ENG,DF,Chelsea,21,1997,15,15,1291,1,0,0,0,3,0,0.07,0.00,0.07,0.07,0.07,0.6,0.6,0.2,0.04,0.01,0.05,0.04,0.05,Matches
218,Lucas Torreira\Lucas-Torreira,uy URU,MF,Arsenal,23,1996,24,15,1373,1,1,0,0,4,0,0.07,0.07,0.13,0.07,0.13,1.6,1.6,1.1,0.10,0.07,0.17,0.10,0.17,Matches
219,Cenk Tosun\Cenk-Tosun,tr TUR,FW,Everton,28,1991,5,2,291,1,0,0,0,0,0,0.31,0.00,0.31,0.31,0.31,0.8,0.8,0.1,0.24,0.04,0.27,0.24,0.27,Matches
220,Cenk Tosun\Cenk-Tosun,tr TUR,FW,Crystal Palace,28,1991,5,2,177,1,0,0,0,0,0,0.51,0.00,0.51,0.51,0.51,0.8,0.8,0.0,0.40,0.00,0.40,0.40,0.40,Matches
221,Andros Townsend\Andros-Townsend,eng ENG,MF,Crystal Palace,28,1991,15,9,797,1,1,0,0,0,0,0.11,0.11,0.23,0.11,0.23,0.2,0.2,1.2,0.02,0.14,0.16,0.02,0.16,Matches
222,Jan Vertonghen\Jan-Vertonghen,be BEL,DF,Tottenham,32,1987,19,18,1543,1,1,0,0,2,0,0.06,0.06,0.12,0.06,0.12,0.4,0.4,0.9,0.03,0.05,0.08,0.03,0.08,Matches
223,Jannik Vestergaard\Jannik-Vestergaard,dk DEN,DF,Southampton,26,1992,14,13,1136,1,0,0,0,2,0,0.08,0.00,0.08,0.08,0.08,0.8,0.8,0.1,0.06,0.01,0.07,0.06,0.07,Matches
