,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG▼,npxG+xA,Matches
26,Riccardo Orsolini\Riccardo-Orsolini,it ITA,FWMF,Bologna,22,1997,26,24,1972,7,4,0,0,3,0,0.32,0.18,0.50,0.32,0.50,6.4,6.4,5.3,0.29,0.24,0.54,0.29,0.54,Matches
27,Andrea Belotti\Andrea-Belotti,it ITA,FW,Torino,25,1993,23,22,1915,9,2,5,5,3,0,0.42,0.09,0.52,0.19,0.28,9.8,6.2,2.9,0.46,0.13,0.59,0.29,0.42,Matches
28,Domenico Berardi\Domenico-Berardi,it ITA,FW,Sassuolo,24,1994,20,19,1606,9,5,0,1,4,1,0.50,0.28,0.78,0.50,0.78,6.0,5.2,3.8,0.34,0.21,0.55,0.29,0.51,Matches
29,Dries Mertens\Dries-Mertens,be BEL,FW,Napoli,32,1987,21,12,1221,6,4,0,0,4,0,0.44,0.29,0.74,0.44,0.74,4.0,4.0,4.4,0.29,0.32,0.62,0.29,0.62,Matches
30,João Pedro\Joao-Pedro,br BRA,FWMF,Cagliari,27,1992,25,25,2249,16,2,3,5,5,0,0.64,0.08,0.72,0.52,0.60,10.6,6.7,1.2,0.42,0.05,0.47,0.27,0.32,Matches
31,Nicola Sansone\Nicola-Sansone,it ITA,FWMF,Bologna,27,1991,22,20,1671,4,3,3,4,5,0,0.22,0.16,0.38,0.05,0.22,7.8,4.8,2.9,0.42,0.16,0.58,0.26,0.41,Matches
32,Andrea Petagna\Andrea-Petagna,it ITA,FW,SPAL,24,1995,25,24,2178,11,1,5,7,5,0,0.45,0.04,0.50,0.25,0.29,11.1,5.8,2.3,0.46,0.10,0.56,0.24,0.34,Matches
33,Robin Gosens\Robin-Gosens,de GER,DF,Atalanta,25,1994,22,21,1760,7,5,0,0,2,0,0.36,0.26,0.61,0.36,0.61,4.5,4.5,2.4,0.23,0.12,0.35,0.23,0.35,Matches
34,Andrea Pinamonti\Andrea-Pinamonti,it ITA,FW,Genoa,20,1999,20,15,1402,2,1,0,0,1,0,0.13,0.06,0.19,0.13,0.19,3.6,3.6,0.6,0.23,0.04,0.27,0.23,0.27,Matches
35,Nicolò Zaniolo\Nicolo-Zaniolo,it ITA,FWMF,Roma,20,1999,18,15,1289,4,1,0,0,6,0,0.28,0.07,0.35,0.28,0.35,3.2,3.2,2.4,0.23,0.17,0.40,0.23,0.40,Matches
36,Marco Mancosu\Marco-Mancosu,it ITA,MFFW,Lecce,30,1988,21,17,1512,8,1,5,5,2,0,0.48,0.06,0.54,0.18,0.24,7.4,3.6,1.9,0.44,0.11,0.55,0.21,0.33,Matches
37,Jeremie Boga\Jeremie-Boga,ci CIV,FW,Sassuolo,22,1997,24,21,1869,8,2,0,0,0,0,0.39,0.10,0.48,0.39,0.48,4.1,4.1,2.3,0.20,0.11,0.31,0.20,0.31,Matches
38,Roberto Soriano\Roberto-Soriano,it ITA,MF,Bologna,28,1991,18,18,1589,3,2,0,0,2,1,0.17,0.11,0.28,0.17,0.28,3.4,3.4,3.2,0.20,0.18,0.37,0.20,0.37,Matches
